원제목,저자명,원고지매수,작업일,비용
(ALA) The Flowers Are Speaking_Subrights,,931,2026/03/18,100000
(EYA) Meghan O'Gieblyn WILL AND ATTENTION copyedited MS,,1166,2026/03/17,100000
(임프리마) HH Risk and Reward,,759,2026/03/18,100000
(임프리마) Kaplan Jeff -- Philosophy for Rule-Breakers - international final,,210,2026/03/05,100000
(임프리마) 金を握りしめた者が勝つ (1),,576,2026/02/25,100000
"Zimmer E, How A Little Becomes A Lot, Final PDF",,1458,2026/02/23,100000
[임프리마] This Story Might Save Your Life,,1442,2026/03/03,100000
[임프리마]Dopamine Code-watermarked,,980,2026/03/03,100000
